,school_name,postal_code,mainlevel_code,latitude,longitude
0,ADMIRALTY PRIMARY SCHOOL,738907,PRIMARY,1.4426347903311,103.800040119743
2,AHMAD IBRAHIM PRIMARY SCHOOL,768643,PRIMARY,1.43315271543517,103.832942401086
4,AI TONG SCHOOL,579646,PRIMARY,1.3605834338904,103.833020333986
5,ALEXANDRA PRIMARY SCHOOL,159016,PRIMARY,1.29133439161334,103.824424680531
6,ANCHOR GREEN PRIMARY SCHOOL,544969,PRIMARY,1.39036998654612,103.887165375933
7,ANDERSON PRIMARY SCHOOL,569785,PRIMARY,1.38419941907925,103.841411716006
10,ANG MO KIO PRIMARY SCHOOL,569920,PRIMARY,1.36932176584608,103.839630858752
16,ANGLO-CHINESE SCHOOL (JUNIOR),227988,PRIMARY,1.30935041274966,103.840950265464
17,ANGLO-CHINESE SCHOOL (PRIMARY),309918,PRIMARY,1.31837054523521,103.835609732354
18,ANGSANA PRIMARY SCHOOL,528565,PRIMARY,1.36360590588314,103.9389409004
22,BEACON PRIMARY SCHOOL,679944,PRIMARY,1.38394936211823,103.773632022975
24,BEDOK GREEN PRIMARY SCHOOL,469317,PRIMARY,1.32399627990304,103.937745023577
28,BENDEMEER PRIMARY SCHOOL,339948,PRIMARY,1.32181250780475,103.865404167629
30,BLANGAH RISE PRIMARY SCHOOL,109100,PRIMARY,1.27614522920998,103.80861316604
31,BOON LAY GARDEN PRIMARY SCHOOL,649930,PRIMARY,1.34284013791617,103.712858381937
38,BUKIT PANJANG PRIMARY SCHOOL,679676,PRIMARY,1.37350089986584,103.769417337654
39,BUKIT TIMAH PRIMARY SCHOOL,598112,PRIMARY,1.3372995575169,103.766828720721
40,BUKIT VIEW PRIMARY SCHOOL,659634,PRIMARY,1.34586054788695,103.75366641455
42,CANBERRA PRIMARY SCHOOL,757714,PRIMARY,1.45123288382933,103.81588941317
44,CANOSSA CATHOLIC PRIMARY SCHOOL,387621,PRIMARY,1.32664424544839,103.882227964852
45,CANTONMENT PRIMARY SCHOOL,88256,PRIMARY,,
46,CASUARINA PRIMARY SCHOOL,518935,PRIMARY,1.37246063927999,103.957020286115
50,CEDAR PRIMARY SCHOOL,349700,PRIMARY,1.33566084356265,103.87562006259
52,CHANGKAT PRIMARY SCHOOL,529896,PRIMARY,1.34023163951633,103.952080114035
53,CHIJ (KATONG) PRIMARY,424821,PRIMARY,1.30648535277087,103.911105620496
54,VALOUR PRIMARY SCHOOL,828728,PRIMARY,1.40744168163777,103.898762173662
55,CHIJ (KELLOCK),99757,PRIMARY,,
57,CHIJ OUR LADY OF GOOD COUNSEL,558979,PRIMARY,1.35742952269615,103.864009397373
58,CHIJ OUR LADY OF THE NATIVITY,534793,PRIMARY,1.37330297140128,103.897575728303
59,CHIJ OUR LADY QUEEN OF PEACE,679287,PRIMARY,1.366603668561,103.767412204602
60,CHIJ PRIMARY (TOA PAYOH),319765,PRIMARY,1.33275264711587,103.841847263786
65,CHONGFU SCHOOL,768959,PRIMARY,1.43839562897006,103.839309173817
66,CHONGZHENG PRIMARY SCHOOL,529392,PRIMARY,1.35061130568554,103.951317297552
68,CHUA CHU KANG PRIMARY SCHOOL,689905,PRIMARY,1.37775890093367,103.741832917421
72,CLEMENTI PRIMARY SCHOOL,129903,PRIMARY,1.31506321827875,103.763144493687
75,COMPASSVALE PRIMARY SCHOOL,545091,PRIMARY,1.39444529636566,103.897812229905
77,CONCORD PRIMARY SCHOOL,689814,PRIMARY,1.38026516111464,103.736554295636
78,CORPORATION PRIMARY SCHOOL,648347,PRIMARY,1.35148548772662,103.707578404944
81,DAMAI PRIMARY SCHOOL,479226,PRIMARY,1.33524602829747,103.921286435321
83,DAZHONG PRIMARY SCHOOL,659441,PRIMARY,1.3591797447277,103.74847210784
84,DE LA SALLE SCHOOL,689285,PRIMARY,1.3947078296399,103.743201812831
89,EAST SPRING PRIMARY SCHOOL,529258,PRIMARY,1.35268400746357,103.961676849165
91,EDGEFIELD PRIMARY SCHOOL,828869,PRIMARY,1.40009139510996,103.907847599114
