name,category,lat,lon,brand,address,website,phone
NTUC Fairprice,supermarket,1.3856119,103.9025772,NTUC Fairprice,,,
Giant,supermarket,1.3794345,103.88795,,Hougang Street 51,,
NTUC FairPrice,supermarket,1.3725281,103.8939238,NTUC Fairprice,,,
NTUC Fairprice,supermarket,1.3824983,103.893624,NTUC Fairprice,,,
NTUC FairPrice,supermarket,1.3923199,103.904213,NTUC Fairprice,Rivervale Crescent,https://www.fairprice.com.sg/,+65 6384 4711
NTUC FairPrice,supermarket,1.3943753,103.912923,NTUC Fairprice,,,
NTUC FairPrice,supermarket,1.3575602,103.8841371,NTUC Fairprice,Hougang Street 21,,
Giant,supermarket,1.3815806,103.8970373,,Compassvale Bow,,
Giant Hypermarket,supermarket,1.3312172,103.9483149,Giant Hypermarket,Bedok Road,https://giant.sg/,+65 6243 5748
NTUC FairPrice Finest,supermarket,1.3014954,103.839658,,The Centrepoint,https://fairprice.com.sg/,+65 62631602
NTUC FairPrice,supermarket,1.3123256,103.9253617,NTUC Fairprice,,,
NTUC FairPrice,supermarket,1.3373298,103.9218002,NTUC Fairprice,,,
NTUC FairPrice Finest,supermarket,1.301342,103.9071774,,Marine Parade Central,https://www.fairprice.com.sg/,+65 6348 0826
Cold Storage Fresh,supermarket,1.3001235,103.8560555,Cold Storage,Victoria Street Bugis Junction,https://www.coldstorage.com.sg/,+65 6336 1990
NTUC FairPrice,supermarket,1.2925348,103.8113068,NTUC Fairprice,Dawson Road,,+65 64764471
NTUC FairPrice,supermarket,1.3128156,103.7658379,,Clementi Avenue 3,,
NTUC FairPrice,supermarket,1.2812832,103.8100855,NTUC Fairprice,,,
Giant,supermarket,1.441726,103.8250677,,"604 Sembawang Road, Sembawang Shopping Centre",,
NTUC FairPrice,supermarket,1.4495608,103.8186291,,,,
NTUC FairPrice,supermarket,1.4479385,103.8195511,,,,
Shop N Save,supermarket,1.4309761,103.7942332,,,,
Cold Storage,supermarket,1.3176941,103.7859561,,Holland Road,,
Prime,supermarket,1.3588218,103.7504894,,,,
Giant,supermarket,1.3416023,103.6969558,,"Jurong West Street 61, Pioneer Mall",,
Sheng Siong,supermarket,1.3255871,103.7251859,Sheng Siong,Yuan Ching Road,,
Prime Supermarket,supermarket,1.3417008,103.6912824,,,https://www.primesupermarket.com/,
Sheng Siong,supermarket,1.3221125,103.738207,,Teban Gardens Road,,
NTUC FairPrice,supermarket,1.3205044,103.7426546,NTUC Fairprice,,,
Cold Storage,supermarket,1.3215309,103.9555771,,Eastwood Road,,
Giant,supermarket,1.3586036,103.7492177,,Blk 376 Bukit Batok St 31,,
NTUC FairPrice,supermarket,1.3257807,103.9316518,NTUC FairPrice,Bedok North Street 1,,+65 64438038
Sheng Siong,supermarket,1.3244941,103.9310939,Sheng Siong,New Upper Changi Road,https://www.shengsiong.com.sg,+65 62422824
NTUC FairPrice,supermarket,1.2932215,103.8268848,NTUC Fairprice,,,+65 67339358
NTUC FairPrice,supermarket,1.3153813,103.7643947,NTUC Fairprice,The Clementi Mall,https://www.fairprice.com.sg/,+65 66594437
NTUC FairPrice,supermarket,1.350271,103.8485161,NTUC Fairprice,Bishan Place,https://www.fairprice.com.sg/,+65 6259 0461
NTUC Fairprice,supermarket,1.3238372,103.8557907,NTUC Fairprice,Whampoa Drive,https://www.fairprice.com.sg/,
