Rank (2024),School,Vacancies (2024),Applicants (2024),Ratio (2024),Ballot (2024),Rank (2022),Rank (2023),,school_name,latitude,longitude
1,Princess Elizabeth,41,270,6.59,SC<1,1,1,,ADMIRALTY PRIMARY SCHOOL,1.44263479,103.8000401
2,Nan Hua,40,160,4,SC<1,2,2,,AHMAD IBRAHIM PRIMARY SCHOOL,1.433152715,103.8329424
3,Chongfu,43,153,3.56,SC<1,7,10,,AI TONG SCHOOL,1.360583434,103.8330203
4,Rosyth,44,139,3.16,SC<1,8,4,,ALEXANDRA PRIMARY SCHOOL,1.291334392,103.8244247
5,St. Hilda’s,41,129,3.15,SC<1,5,5,,ANCHOR GREEN PRIMARY SCHOOL,1.390369987,103.8871654
6,South View,43,127,2.95,SC<1,4,6,,ANDERSON PRIMARY SCHOOL,1.384199419,103.8414117
7,Nan Chiau,88,247,2.81,SC<1,6,7,,ANG MO KIO PRIMARY SCHOOL,1.369321766,103.8396309
8,Rulang,41,115,2.8,SC<1,13,9,,ANGLO-CHINESE SCHOOL (JUNIOR),1.309350413,103.8409503
9,Northland,62,170,2.74,SC<1,3,3,,ANGLO-CHINESE SCHOOL (PRIMARY),1.318370545,103.8356097
10,Angsana,60,155,2.58,SC<1,102,26,,ANGSANA PRIMARY SCHOOL,1.363605906,103.9389409
11,Wellington,45,114,2.53,SC<1,32,18,,BEACON PRIMARY SCHOOL,1.383949362,103.773632
12,Poi Ching,79,192,2.43,SC<1,26,13,,BEDOK GREEN PRIMARY SCHOOL,1.32399628,103.937745
13,Gongshang,41,99,2.41,SC<1,12,11,,BENDEMEER PRIMARY SCHOOL,1.321812508,103.8654042
14,Holy Innocents’,40,96,2.4,SC<1,11,8,,BLANGAH RISE PRIMARY SCHOOL,1.276145229,103.8086132
15,Bukit Panjang,43,102,2.37,SC<1,74,15,,BOON LAY GARDEN PRIMARY SCHOOL,1.342840138,103.7128584
16,Ai Tong,41,94,2.29,SC<1,22,27,,BUKIT PANJANG PRIMARY SCHOOL,1.3735009,103.7694173
17,Sengkang Green,42,94,2.24,SC<1,10,19,,BUKIT TIMAH PRIMARY SCHOOL,1.337299558,103.7668287
18,Frontier,43,89,2.07,SC<1,28,51,,BUKIT VIEW PRIMARY SCHOOL,1.345860548,103.7536664
19,Xinmin,45,93,2.07,SC<1,46,33,,CANBERRA PRIMARY SCHOOL,1.451232884,103.8158894
20,CHIJ (Toa Payoh),41,83,2.02,SC<1,70,57,,CANOSSA CATHOLIC PRIMARY SCHOOL,1.326644245,103.882228
21,Shuqun,42,84,2,SC<1,61,22,,CANTONMENT PRIMARY SCHOOL,1.275396063,103.8399236
22,Nanyang,40,79,1.98,SC<1,18,28,,CASUARINA PRIMARY SCHOOL,1.372460639,103.9570203
23,Admiralty,69,134,1.94,SC<1,14,24,,CEDAR PRIMARY SCHOOL,1.335660844,103.8756201
24,Punggol Green,59,108,1.83,SC<1,16,25,,CHANGKAT PRIMARY SCHOOL,1.34023164,103.9520801
25,Pasir Ris,41,74,1.8,SC<1,27,32,,CHIJ (KATONG) PRIMARY,1.306485353,103.9111056
26,North View,61,109,1.79,SC<1,103,65,,VALOUR PRIMARY SCHOOL,1.407441682,103.8987622
27,Hong Wen,71,124,1.75,SC<1,41,15,,CHIJ (KELLOCK),1.275084869,103.828354
28,Keming,81,141,1.74,SC<1,15,29,,CHIJ OUR LADY OF GOOD COUNSEL,1.357429523,103.8640094
29,Fairfield Methodist,45,78,1.73,SC<1,17,30,,CHIJ OUR LADY OF THE NATIVITY,1.373302971,103.8975757
30,Kuo Chuan Presbyterian,44,76,1.73,SC<1,69,70,,CHIJ OUR LADY QUEEN OF PEACE,1.366603669,103.7674122
31,Westwood,49,83,1.69,SC<1,40,48,,CHIJ PRIMARY (TOA PAYOH),1.332752647,103.8418473
32,Horizon,51,86,1.69,SC<1,30,24,,CHONGFU SCHOOL,1.438395629,103.8393092
33,St. Anthony’s,72,121,1.68,SC<1,42,34,,CHONGZHENG PRIMARY SCHOOL,1.350611306,103.9513173
34,Huamin,60,97,1.62,SC<1,80,37,,CHUA CHU KANG PRIMARY SCHOOL,1.377758901,103.7418329
35,Pei Hwa Presbyterian,41,66,1.61,SC<1,19,23,,CLEMENTI PRIMARY SCHOOL,1.315063218,103.7631445
36,Temasek,51,80,1.57,SC1-2,9,12,,COMPASSVALE PRIMARY SCHOOL,1.394445296,103.8978122
37,Dazhong,60,94,1.57,SC<1,98,87,,CONCORD PRIMARY SCHOOL,1.380265161,103.7365543
38,Henry Park,41,63,1.54,SC<1,24,46,,CORPORATION PRIMARY SCHOOL,1.351485488,103.7075784
39,Hougang,85,130,1.53,SC<1,53,54,,DAMAI PRIMARY SCHOOL,1.335246028,103.9212864
40,Qifa,68,104,1.53,SC1-2,81,81,,DAZHONG PRIMARY SCHOOL,1.359179745,103.7484721
41,Singapore Chinese Girls’,40,61,1.53,SC<1,31,49,,DE LA SALLE SCHOOL,1.39470783,103.7432018
42,Maris Stella High,67,101,1.51,SC<1,38,47,,EAST SPRING PRIMARY SCHOOL,1.352684007,103.9616768
43,CHIJ St. Nicholas Girls’,40,60,1.5,SC<1,45,18,,EDGEFIELD PRIMARY SCHOOL,1.400091395,103.9078476
44,Kong Hwa,74,110,1.49,SC<1,23,43,,ELIAS PARK PRIMARY SCHOOL,1.375056963,103.9452894
45,Elias Park,60,88,1.47,SC<1,51,30,,ENDEAVOUR PRIMARY SCHOOL,1.453881704,103.8171747
