Rank,School,latitude,longitude
1,Princess Elizabeth,1.349190989,103.7407192
2,Nan Hua,1.3192016,103.7610951
3,Chongfu,1.438395629,103.8393092
4,Rosyth,1.372858365,103.8747717
5,St. Hildaâ€™s,1.34967979,103.9370164
6,South View,1.38143124,103.7471537
7,Nan Chiau,1.392211499,103.8911809
8,Rulang,1.346738689,103.718458
9,Northland,1.421304042,103.8407929
10,Angsana,1.363605906,103.9389409
11,Wellington,1.451685176,103.8225162
12,Poi Ching,1.357651219,103.9352465
13,Gongshang,1.357116068,103.9491448
14,Holy Innocentsâ€™,1.366938309,103.8941149
15,Bukit Panjang,1.3735009,103.7694173
16,Ai Tong,1.360583434,103.8330203
17,Sengkang Green,1.39283925,103.8751588
18,Frontier,1.336412987,103.6997017
19,Xinmin,1.371767983,103.8828099
20,CHIJ (Toa Payoh),1.332752647,103.8418473
21,Shuqun,1.346869673,103.7215594
22,Nanyang,1.321070942,103.8076819
23,Admiralty,1.44263479,103.8000401
24,Punggol Green,1.401725905,103.8987943
25,Pasir Ris,1.372451327,103.9629227
26,North View,1.427451595,103.8483784
27,Hong Wen,1.32176,103.8576285
28,Keming,1.3455285,103.7564494
29,Fairfield Methodist,1.301004419,103.7854556
30,Kuo Chuan Presbyterian,1.349398137,103.8550182
31,Westwood,1.347710965,103.7004675
32,Horizon,1.399550034,103.9134049
33,St. Anthonyâ€™s,1.364119485,103.7492519
34,Huamin,1.426972845,103.8442402
35,Pei Hwa Presbyterian,1.338073021,103.7762509
36,Temasek,1.317706776,103.9455907
37,Dazhong,1.359179745,103.7484721
38,Henry Park,1.316676462,103.7842962
39,Hougang,1.377382452,103.8808053
40,Qifa,1.313265833,103.7566291
41,Singapore Chinese Girlsâ€™,1.320807252,103.8277447
42,Maris Stella High,1.3414,103.8778
43,CHIJ St. Nicholas Girlsâ€™,1.3739,103.8343
44,Kong Hwa,1.31099674,103.888352
45,Elias Park,1.375056963,103.9452894
46,Red Swastika,1.334056596,103.9343175
47,Radin Mas,1.275155108,103.8239121
48,Tanjong Katong,1.30498489,103.9
49,Alexandra,1.291334392,103.8244247
50,St. Andrewâ€™s Junior,1.331402553,103.8651171
51,Yangzheng,1.348976808,103.8684671
52,Compassvale,1.394445296,103.8978122
53,Riverside,1.447004265,103.801889
54,Rivervale,1.393335063,103.9045453
55,Raffles Girlsâ€™,1.330041781,103.8063978
56,Valour,1.407441682,103.8987622
57,Paya Lebar Methodist Girlsâ€™,1.35025456,103.8848469
58,Yu Neng,1.333980379,103.932015
59,Sembawang,1.44574531,103.8211527
60,Chua Chu Kang,1.377758901,103.7418329
61,Tao Nan,1.305285287,103.9115532
62,Northshore,1.418423221,103.9051472
63,Methodist Girlsâ€™,1.332662136,103.7833821
64,Chongzheng,1.350611306,103.9513173
65,Maha Bodhi,1.328580239,103.9013069
66,Anglo-Chinese (Primary),1.318370545,103.8356097
67,Junyuan,1.347870748,103.9392217
68,Fengshan,1.329805988,103.9317103
69,West Spring,1.389179718,103.7663977
70,Punggol,1.378200625,103.8946672
71,Anglo-Chinese (Junior),1.309350413,103.8409503
72,Jing Shan,1.371964457,103.8517635
73,Pei Chun Public,1.336778644,103.8553413
74,St. Josephâ€™s Institution Junior,1.317814761,103.8456333
75,Catholic High,1.3548,103.845
76,Mee Toh,1.394853561,103.9085726
77,Canberra,1.451232884,103.8158894
