name,latitude,longitude,status
Amoy Street Food Centre (Telok Ayer Food Centre),1.279231209,103.8466193,Existing
Margaret Drive Hawker Centre,1.297486559,103.8046938,Existing (replacement)
Punggol Coast Hawker Centre,1.41451801,103.9085426,Existing (new)
Bukit Timah Interim Hawker Centre and Market,1.340787916,103.7752147,Interim Centre
Pasir Panjang Food Centre,1.275917975,103.7914109,Existing
Tanjong Pagar Plaza Blk 6 (Blk 6 Tanjong Pagar Plaza Market and Food Centre),1.27661367,103.8431617,Existing
Jurong West Hawker Centre,1.341264104,103.6972419,Existing (new)
Old Airport Road Blk 51 (51 Old Airport Road Food Centre and Shopping Mall),1.308251847,103.8858087,Existing
Redhill Lane Blk 85 (Redhill Food Centre),1.287307515,103.8183112,Existing
Redhill Lane Blk 79 (Redhill Market),1.287843173,103.8183521,Existing
One Punggol Hawker Centre,1.408747646,103.9051695,Existing (new)
Bedok Food Centre,1.32035016,103.9554776,Existing
Bukit Canberra Hawker Centre,1.448263364,103.8227636,Existing (new)
Upper Cross Street Blk 531A (Hong Lim Food Centre and Market),1.285295079,103.8458243,Existing
Marine Parade Central Blk 84 (84 Marine Parade Central Market and Food Centre),1.302296556,103.9063438,Existing
Marsiling Lane Blk 20/21,1.443416243,103.7770061,Existing
Whampoa Drive Blk 91/92 (Whampoa Drive Makan Place/Whampoa Market),1.323428187,103.8540602,Existing
New Upper Changi Road Blk 58,1.324200873,103.9411253,Existing
Yishun Park Hawker Centre,1.424987863,103.8447475,Existing (new)
Zion Riverside Food Centre,1.292342211,103.831189,Existing
Circuit Road Blk 80 (80 Circuit Road Market and Food Centre),1.327834146,103.8871027,Existing
Circuit Road Blk 89,1.323579714,103.8854388,Existing
Telok Blangah Crescent Blk 11 (11 Telok Blangah Crescent Market and Food Centre),1.277368132,103.8186515,Existing
Maxwell Food Centre (Kim Hua Market),1.280331427,103.8447472,Existing
Jalan Kukoh Blk 1 (Kukoh 21 Food Centre),1.288231015,103.8399342,Existing
Jalan Batu Blk 4A (Blk 4A Jalan Batu Hawker Centre/Market),1.302360348,103.8839095,Existing
Toa Payoh Lorong 5 Blk 75,1.336020768,103.852957,Existing
Bukit Batok West Hawker Centre,1.355445832,103.7420785,Existing (new)
Fernvale Hawker Centre & Market,1.391701925,103.8769815,Existing (new)
Bukit Merah View Blk 115 (Blk 115 Bukit Merah View Market and Food Centre),1.285504456,103.8218233,Existing
Ang Mo Kio Ave 1 Blk 341 (Teck Ghee Court),1.364107209,103.8482422,Existing
Toa Payoh Lorong 4 Blk 74 (Toa Payoh Vista Market),1.334550749,103.8520035,Existing
Eunos Crescent Blk 4A,1.320331261,103.9042565,Existing
Woodleigh Village Hawker Centre,1.339791014,103.8720138,Existing (new)
Senja Hawker Centre,1.387194004,103.761084,Existing (new)
East Coast Lagoon Food Village,1.307261066,103.9347997,Existing
Bukit Merah Central Blk 163 (Bukit Merah Central Food Centre),1.283661396,103.8170727,Existing
Boon Lay Place Blk 221A/B (Boon Lay Place Market and Food Village),1.345224065,103.7128007,Existing
Queen Street Blk 270 (Albert Centre),1.301102016,103.8541158,Existing
Market Street Hawker Centre,1.283900065,103.850006,Existing (replacement)
Aljunied Ave 2 Blk 117 (Blk 117 Aljunied Market and Food Centre),1.320646368,103.8870241,Existing
Hougang Street 21 Blk 209 (Kovan Hougang Market and Food Centre),1.359083841,103.8860554,Existing
Serangoon Garden Market,1.363085011,103.8667249,Existing
Hougang Ave 1 Blk 105 (Hougang 105 Hainanese Village Centre),1.354082739,103.8901304,Existing
Clementi West Street 2 Blk 726,1.303810732,103.7642507,Existing
Haig Road Blk 13/14 (Haig Road Market and Cooked Food Centre),1.315107521,103.8955879,Existing
Ang Mo Kio Ave 10 Blk 453A (Chong Boon Market and Food Centre),1.368247789,103.8563616,Existing
Clementi Ave 2 Blk 353 (Clementi Ave 2 Market/Cooked Food Centre),1.314373285,103.7708055,Existing
Sembawang Hills Food Centre (Jalan Leban Food Centre),1.372319493,103.8290181,Existing
Bedok Reservoir Road Blk 630,1.332772792,103.9141908,Existing
Shunfu Road Blk 320 (Shunfu Mart),1.35202557,103.8369645,Existing
Teban Gardens Road Blk 37A (Teban Gardens Market and Food Centre),1.320831094,103.7427481,Existing
New Upper Changi Road Blk 208B,1.32478237,103.9305703,Existing
Jurong East Ave 1 Blk 347 (Yuhua Market and Hawker Centre),1.345416983,103.7317038,Existing
Anchorvale Village Hawker Centre,1.396793154,103.8884373,Existing (new)
Ci Yuan Hawker Centre,1.375322538,103.8829319,Existing (new)
Telok Blangah Rise Blk 36 (Telok Blangah Rise Market),1.272761286,103.8223635,Existing
Hawker Centre @ Our Tampines Hub,1.353133598,103.9404081,Existing (new)
Taman Jurong Market and Food Centre,1.334721067,103.7215838,Existing
Cambridge Road Blk 41A (Pek Kio Market and Food Centre),1.316131281,103.8502329,Existing
Bedok South Road Blk 16,1.320500838,103.9354736,Existing
Bendemeer Road Blk 29 (Bendemeer Market and Food Centre),1.319216679,103.8630209,Existing
Ang Mo Kio Ave 10 Blk 527 (Cheng San Market and Cooked Food Centre),1.372772093,103.854458,Existing
Tanglin Halt Market,1.300544075,103.797738,Existing
Berseh Food Centre,1.307344109,103.8568888,Existing
Bedok North Street 4 Blk 85 (85 Fengshan Centre),1.332004824,103.9387684,Existing
Kampung Admiralty Hawker Centre,1.439749518,103.8007207,Existing (new)
Toa Payoh Lorong 8 Blk 210,1.340261047,103.8543958,Existing
Jalan Bukit Merah Blk 112 (Blk 112 Jalan Bukit Merah Market and Food Centre),1.280004801,103.8260133,Existing
Commonwealth Crescent Market,1.306900132,103.8003673,Existing
Clementi Ave 3 Blk 448,1.313319694,103.7645172,Existing
Geylang Serai Market,1.316736349,103.8982279,Existing
Jalan Bukit Merah Blk 6 (ABC Brickworks Market/Food Centre),1.286882973,103.8081313,Existing
Marine Terrace Blk 50A (50A Marine Terrace),1.305729736,103.915737,Existing
Tiong Bahru Market,1.284785598,103.8321815,Existing
Ang Mo Kio Ave 10 Blk 409 (Teck Ghee Square),1.362654108,103.8552883,Existing
Empress Road Blk 7 (Empress Road Market and Food Centre),1.316240529,103.8056367,Existing
Golden Mile Food Centre,1.303141753,103.8638776,Existing
Geylang Bahru Blk 69 (Blk 69 Geylang Bahru Market and Food Centre),1.32146311,103.870005,Existing
Jurong West Street 52 Blk 505,1.349657292,103.7184437,Existing
Mei Chin Road Blk 159 (Mei Chin Road Market),1.293236244,103.8029039,Existing
Ang Mo Kio Street 22 Blk 226H (Kebun Baru Food Centre),1.367196538,103.8400222,Existing
Dunman Food Centre,1.309417888,103.9018254,Existing
Ghim Moh Road Blk 20,1.310996632,103.7882303,Existing
Ang Mo Kio Ave 4 Blk 160/162 (Mayflower Market),1.374527737,103.8391761,Existing
West Coast Drive Blk 502 (Ayer Rajah Market),1.311906957,103.759128,Existing
Bukit Panjang Hawker Centre,1.377597423,103.7724915,Existing (new)
Beo Crescent Market,1.288830892,103.8273539,Existing
Havelock Road Blk 22A/B (Havelock Road Cooked Food Centre),1.287970517,103.8296234,Existing
Toa Payoh Lorong 7 Blk 22 (Kim Keat Palm Market and Food Centre),1.335382613,103.8570037,Existing
Tampines Street 11 Blk 137 (Tampines Round Market and Food Centre),1.345373474,103.9446294,Existing
Ang Mo Kio Ave 1 Blk 226D (Kebun Baru Market and Food Centre),1.366800962,103.8391523,Existing
Smith Street Blk 335 (Chinatown Complex Market),1.282274961,103.8432385,Existing
Buangkok Hawker Centre,1.382981632,103.892721,Existing (new)
Sims Place Blk 49 (Sims Vista Market and Food Centre),1.317035024,103.8793099,Existing
Bedok North Street 1 Blk 216,1.327062742,103.933218,Existing
Newton Food Centre,1.31191552,103.8395697,Existing
West Coast Drive Blk 503 (Ayer Rajah Food Centre),1.31180309,103.7597514,Existing
Bedok North Street 3 Blk 538,1.332067277,103.9246213,Existing
Pasir Ris Central Hawker Centre,1.37347252,103.9515713,Existing (new)
Ang Mo Kio Ave 4 Blk 628 (Ang Mo Kio 628 Market),1.380987617,103.8406281,Existing
Adam Road Food Centre,1.324159852,103.8141659,Existing
Kallang Estate Fresh Market and Food Centre,1.307343983,103.8840177,Existing
Yishun Ring Road Blk 104/105 (Chong Pang Market and Food Centre),1.431447752,103.8285377,Existing
Jurong East Street 24 Blk 254 (Yuhua Village Market and Food Centre),1.343488185,103.7377384,Existing
New Market Road Blk 32 (People's Park Food Centre),1.284858608,103.8425788,Existing
Telok Blangah Drive Blk 79 (Telok Blangah Food Centre),1.273355994,103.8076181,Existing
Marsiling Mall Hawker Centre,1.433543181,103.7798819,Existing (replacement)
Holland Drive Blk 44 (Holland Drive Market and Food Centre),1.3081178,103.7927738,Existing
North Bridge Road Market,1.305634336,103.8639093,Existing
Toa Payoh Lorong 4 Blk 93,1.338474696,103.8495134,Existing
Holland Village Market and Food Centre,1.311072974,103.7948764,Existing
Changi Village Blk 2 and 3,1.389151648,103.9882452,Existing
Upper Boon Keng Road Blk 17 (Blk 17 Upper Boon Keng Market and Food Centre),1.315028415,103.8716204,Existing
Bedok North Street 3 Blk 511 (Kaki Bukit 511 Market and Food Centre),1.333219933,103.9305815,Existing
Telok Blangah Drive Blk 82 (Telok Blangah Market),1.273890768,103.8079003,Existing
Ang Mo Kio Ave 6 Blk 724 (Blk 724 Ang Mo Kio Market),1.372172585,103.8465103,Existing
Chomp Chomp Food Centre,1.364232525,103.866527,Existing
Bukit Merah Lane 1 Blk 120 (Alexandra Village Food Centre),1.286305943,103.8044926,Existing
Buffalo Road Blk 665 (Tekka Centre/Zhu Jiao Market),1.306186638,103.8505856,Existing
Toa Payoh Lorong 1 Blk 127 (Toa Payoh West Market and Food Court),1.338103514,103.8447327,Existing
Circuit Road Blk 79/79A,1.326597067,103.8850523,Existing
