iter	RMSE
0	81629.20481
1	60925.82233
2	51236.64172
3	44833.05832
4	40306.63756
5	37933.99393
6	35730.81471
7	33822.91452
8	32757.381
9	31765.82718
10	31159.56076
11	30339.56892
12	29677.23156
13	29210.97965
14	28854.88033
15	28446.26665
16	27991.19606
17	27605.76723
18	27373.80172
19	27088.86162
20	26732.91528
21	26351.92989
22	26135.54158
23	25916.79916
24	25708.95764
25	25377.30702
26	25146.28872
27	24985.23882
28	24815.20616
29	24633.42829
30	24466.5741
31	24339.54741
32	24242.03234
33	24154.9688
34	24050.7229
35	23861.8146
36	23778.72016
37	23687.23625
38	23485.33076
39	23376.01446
40	23286.91055
41	23125.59829
42	23039.29403
43	22968.45064
44	22842.80858
45	22797.60539
46	22721.37476
47	22649.38532
48	22548.48058
49	22485.6105
50	22407.93169
51	22352.25144
52	22262.97278
53	22200.02934
54	22132.59424
55	22025.35469
56	21961.22491
57	21907.49304
58	21862.78032
59	21814.33959
60	21738.57377
61	21682.68125
62	21618.1672
63	21546.87614
64	21509.80849
65	21457.54376
66	21413.94159
67	21380.05765
68	21334.95738
69	21297.24633
70	21242.52131
71	21190.69247
72	21139.50227
73	21107.67302
74	21066.60809
75	21018.66513
76	20987.67498
77	20952.5349
78	20919.40513
79	20893.36803
80	20872.16903
81	20838.94176
82	20814.42458
83	20779.16631
84	20752.46211
85	20718.07862
86	20690.86662
87	20661.8866
88	20612.79601
89	20589.43069
90	20561.41009
91	20522.25085
92	20486.64705
93	20453.22108
94	20431.76257
95	20392.40672
96	20356.58551
97	20318.52379
98	20280.23547
99	20253.8629
