iter	Passed	Remaining
0	5	495
1	8	413
2	10	353
3	13	319
4	15	301
5	18	283
6	20	268
7	23	266
8	25	256
9	27	248
10	30	244
11	32	236
12	34	232
13	37	228
14	39	223
15	41	219
16	44	216
17	46	212
18	49	209
19	51	205
20	53	202
21	56	200
22	59	198
23	61	195
24	64	192
25	66	188
26	68	185
27	71	183
28	73	180
29	76	177
30	78	175
31	81	173
32	84	171
33	88	171
34	90	168
35	93	166
36	95	163
37	98	160
38	100	157
39	102	154
40	105	151
41	107	148
42	110	145
43	112	142
44	114	140
45	116	136
46	118	134
47	121	131
48	124	129
49	126	126
50	128	123
51	130	120
52	133	118
53	136	115
54	138	113
55	140	110
56	143	107
57	145	105
58	147	102
59	149	99
60	152	97
61	155	95
62	157	92
63	160	90
64	162	87
65	165	85
66	167	82
67	170	80
68	173	77
69	175	75
70	178	72
71	180	70
72	183	67
73	186	65
74	189	63
75	191	60
76	194	58
77	198	55
78	212	56
79	216	54
80	220	51
81	223	48
82	226	46
83	229	43
84	242	42
85	254	41
86	257	38
87	277	37
88	281	34
89	291	32
90	304	30
91	309	26
92	322	24
93	336	21
94	339	17
95	344	14
96	367	11
97	371	7
98	375	3
99	378	0
