school_name,latitude,longitude
ADMIRALTY PRIMARY SCHOOL,1.44263479,103.8000401
AHMAD IBRAHIM PRIMARY SCHOOL,1.433152715,103.8329424
AI TONG SCHOOL,1.360583434,103.8330203
ALEXANDRA PRIMARY SCHOOL,1.291334392,103.8244247
ANCHOR GREEN PRIMARY SCHOOL,1.390369987,103.8871654
ANDERSON PRIMARY SCHOOL,1.384199419,103.8414117
ANG MO KIO PRIMARY SCHOOL,1.369321766,103.8396309
ANGLO-CHINESE SCHOOL (JUNIOR),1.309350413,103.8409503
ANGLO-CHINESE SCHOOL (PRIMARY),1.318370545,103.8356097
ANGSANA PRIMARY SCHOOL,1.363605906,103.9389409
BEACON PRIMARY SCHOOL,1.383949362,103.773632
BEDOK GREEN PRIMARY SCHOOL,1.32399628,103.937745
BENDEMEER PRIMARY SCHOOL,1.321812508,103.8654042
BLANGAH RISE PRIMARY SCHOOL,1.276145229,103.8086132
BOON LAY GARDEN PRIMARY SCHOOL,1.342840138,103.7128584
BUKIT PANJANG PRIMARY SCHOOL,1.3735009,103.7694173
BUKIT TIMAH PRIMARY SCHOOL,1.337299558,103.7668287
BUKIT VIEW PRIMARY SCHOOL,1.345860548,103.7536664
CANBERRA PRIMARY SCHOOL,1.451232884,103.8158894
CANOSSA CATHOLIC PRIMARY SCHOOL,1.326644245,103.882228
CANTONMENT PRIMARY SCHOOL,1.275396063,103.8399236
CASUARINA PRIMARY SCHOOL,1.372460639,103.9570203
CEDAR PRIMARY SCHOOL,1.335660844,103.8756201
CHANGKAT PRIMARY SCHOOL,1.34023164,103.9520801
CHIJ (KATONG) PRIMARY,1.306485353,103.9111056
VALOUR PRIMARY SCHOOL,1.407441682,103.8987622
CHIJ (KELLOCK),1.275084869,103.828354
CHIJ OUR LADY OF GOOD COUNSEL,1.357429523,103.8640094
CHIJ OUR LADY OF THE NATIVITY,1.373302971,103.8975757
CHIJ OUR LADY QUEEN OF PEACE,1.366603669,103.7674122
CHIJ PRIMARY (TOA PAYOH),1.332752647,103.8418473
CHONGFU SCHOOL,1.438395629,103.8393092
CHONGZHENG PRIMARY SCHOOL,1.350611306,103.9513173
CHUA CHU KANG PRIMARY SCHOOL,1.377758901,103.7418329
CLEMENTI PRIMARY SCHOOL,1.315063218,103.7631445
COMPASSVALE PRIMARY SCHOOL,1.394445296,103.8978122
CONCORD PRIMARY SCHOOL,1.380265161,103.7365543
CORPORATION PRIMARY SCHOOL,1.351485488,103.7075784
DAMAI PRIMARY SCHOOL,1.335246028,103.9212864
