iter	RMSE
0	109957.4869
1	85428.05104
2	72676.26356
3	64914.29265
4	60486.17681
5	57736.6011
6	55648.63281
7	52724.82945
8	51044.20735
9	49395.7699
10	48372.22036
11	47432.20142
12	46598.62879
13	46075.4653
14	45445.47117
15	44828.55657
16	44372.57715
17	43897.21837
18	42727.13875
19	41963.95287
20	41458.61526
21	40481.54466
22	39908.22065
23	39536.06087
24	39227.13646
25	38781.82277
26	38331.3239
27	38114.54545
28	37597.05848
29	37231.39023
30	36955.80389
31	36721.40473
32	36325.28313
33	36041.29559
34	35870.48035
35	35599.14993
36	35402.80793
37	35195.20559
38	34886.79542
39	34741.08092
40	34550.01498
41	34353.09246
42	34155.01031
43	34003.59322
44	33842.53023
45	33674.76636
46	33575.10231
47	33389.63137
48	33226.70346
49	33067.36121
50	32896.21219
51	32729.08753
52	32646.31066
53	32512.44496
54	32389.4682
55	32259.68489
56	32135.11067
57	32043.97507
58	31965.69347
59	31878.82136
60	31815.57879
61	31728.26747
62	31646.66956
63	31569.84244
64	31492.23044
65	31416.82466
66	31210.87571
67	31112.74185
68	30991.84189
69	30909.89432
70	30830.42393
71	30731.99365
72	30629.33528
73	30549.34689
74	30484.75383
75	30407.62827
76	30333.48552
77	30246.06843
78	30178.84203
79	30131.36848
80	30075.62392
81	30045.33224
82	29967.42567
83	29886.59203
84	29822.78562
85	29768.46744
86	29738.67486
87	29697.90092
88	29633.72429
89	29568.4907
90	29499.38712
91	29446.62005
92	29398.75166
93	29317.75633
94	29256.14052
95	29208.97674
96	29175.58952
97	29122.2013
98	29077.97382
99	29048.10203
