iter	Passed	Remaining
0	13	1315
1	23	1174
2	30	1001
3	38	918
4	45	861
5	53	833
6	59	792
7	68	786
8	75	767
9	83	752
10	91	736
11	99	730
12	107	720
13	115	710
14	121	688
15	128	673
16	134	656
17	142	647
18	149	635
19	155	623
20	163	615
21	170	605
22	178	595
23	184	584
24	192	576
25	199	568
26	205	556
27	212	547
28	219	537
29	226	528
30	232	518
31	239	508
32	267	543
33	282	548
34	315	585
35	336	598
36	353	601
37	364	595
38	373	584
39	381	572
40	389	560
41	418	577
42	427	566
43	435	553
44	452	553
45	462	543
46	471	532
47	486	526
48	527	549
49	558	558
50	580	557
51	633	584
52	677	600
53	689	587
54	717	587
55	730	573
56	750	566
57	774	561
58	798	554
59	831	554
60	842	538
61	856	525
62	873	512
63	884	497
64	895	482
65	908	468
66	919	453
67	928	436
68	944	424
69	959	411
70	972	397
71	982	382
72	993	367
73	1003	352
74	1011	337
75	1020	322
76	1031	308
77	1080	304
78	1099	292
79	1106	276
80	1128	264
81	1140	250
82	1151	235
83	1181	225
84	1213	214
85	1272	207
86	1280	191
87	1291	176
88	1303	161
89	1312	145
90	1322	130
91	1330	115
92	1338	100
93	1348	86
94	1357	71
95	1369	57
96	1379	42
97	1407	28
98	1448	14
99	1459	0
