Station_Name,Station_Type,Latitude,Longitude
ADMIRALTY MRT STATION,MRT,1.44062,103.80099
ALJUNIED MRT STATION,MRT,1.31643,103.88291
ANG MO KIO MRT STATION,MRT,1.37,103.84961
BAKAU LRT STATION,LRT,1.39052,103.90552
BANGKIT LRT STATION,LRT,1.38003,103.7724
BARTLEY MRT STATION,MRT,1.3425,103.88018
BAYFRONT MRT STATION,MRT,1.28187,103.85908
BAYSHORE MRT STATION,MRT,1.31259,103.94097
BEAUTY WORLD MRT STATION,MRT,1.34122,103.77579
BEDOK MRT STATION,MRT,1.32402,103.92999
BEDOK NORTH MRT STATION,MRT,1.33507,103.91768
BEDOK RESERVOIR MRT STATION,MRT,1.33624,103.93334
BENCOOLEN MRT STATION,MRT,1.29862,103.85042
BENDEMEER MRT STATION,MRT,1.31368,103.86215
BISHAN MRT STATION,MRT,1.35087,103.84836
BOON KENG MRT STATION,MRT,1.31952,103.86178
BOON LAY MRT STATION,MRT,1.33869,103.70579
BOTANIC GARDENS MRT STATION,MRT,1.32228,103.81538
BRADDELL MRT STATION,MRT,1.34073,103.84678
BRIGHT HILL MRT STATION,MRT,1.36263,103.83212
BUANGKOK MRT STATION,MRT,1.38286,103.89283
BUGIS MRT STATION,MRT,1.30014,103.85586
BUKIT BATOK MRT STATION,MRT,1.34897,103.74967
BUKIT GOMBAK MRT STATION,MRT,1.35891,103.75192
BUKIT PANJANG LRT STATION,LRT,1.37896,103.76193
BUONA VISTA MRT STATION,MRT,1.30717,103.79044
CALDECOTT MRT STATION,MRT,1.33771,103.83949
CANBERRA MRT STATION,MRT,1.44303,103.82973
CHENG LIM LRT STATION,LRT,1.39603,103.894
CHINATOWN MRT STATION,MRT,1.28459,103.84366
CHINESE GARDEN MRT STATION,MRT,1.34252,103.73264
CHOA CHU KANG LRT STATION,LRT,1.38527,103.7442
CHOA CHU KANG MRT STATION,MRT,1.38527,103.7442
CITY HALL MRT STATION,MRT,1.29308,103.85211
CLARKE QUAY MRT STATION,MRT,1.28869,103.84668
CLEMENTI MRT STATION,MRT,1.31498,103.76523
COMMONWEALTH MRT STATION,MRT,1.30247,103.79779
COMPASSVALE LRT STATION,LRT,1.39458,103.90044
CORAL EDGE LRT STATION,LRT,1.39405,103.91044
COVE LRT STATION,LRT,1.39959,103.90574
DAKOTA MRT STATION,MRT,1.30838,103.88802
DAMAI LRT STATION,LRT,1.40032,103.9149
DHOBY GHAUT MRT STATION,MRT,1.29937,103.84551
DOVER MRT STATION,MRT,1.31116,103.77848
DOWNTOWN MRT STATION,MRT,1.27954,103.85294
EUNOS MRT STATION,MRT,1.31965,103.90343
EXPO MRT STATION,MRT,1.33539,103.96137
