school_name,postal_code,mainlevel_code,latitude,longitude
ADMIRALTY PRIMARY SCHOOL,738907,PRIMARY,1.4426347903311,103.800040119743
ADMIRALTY SECONDARY SCHOOL,737916,SECONDARY (S1-S5),1.44589068910993,103.802398196596
AHMAD IBRAHIM PRIMARY SCHOOL,768643,PRIMARY,1.43315271543517,103.832942401086
AHMAD IBRAHIM SECONDARY SCHOOL,768928,SECONDARY (S1-S5),1.43605975368804,103.829718690077
AI TONG SCHOOL,579646,PRIMARY,1.3605834338904,103.833020333986
ALEXANDRA PRIMARY SCHOOL,159016,PRIMARY,1.29133439161334,103.824424680531
ANCHOR GREEN PRIMARY SCHOOL,544969,PRIMARY,1.39036998654612,103.887165375933
ANDERSON PRIMARY SCHOOL,569785,PRIMARY,1.38419941907925,103.841411716006
ANDERSON SECONDARY SCHOOL,569206,SECONDARY (S1-S5),1.37434001701177,103.851554107068
ANDERSON SERANGOON JUNIOR COLLEGE,534768,JUNIOR COLLEGE,1.36504342002442,103.887038809373
ANG MO KIO PRIMARY SCHOOL,569920,PRIMARY,1.36932176584608,103.839630858752
ANG MO KIO SECONDARY SCHOOL,569362,SECONDARY (S1-S5),1.36733710171069,103.842154973672
ANGLICAN HIGH SCHOOL,487012,SECONDARY (S1-S4),1.33058126205128,103.941082513081
ANGLO-CHINESE JUNIOR COLLEGE,139745,JUNIOR COLLEGE,1.30304255193392,103.785358436408
ANGLO-CHINESE SCHOOL (BARKER ROAD),309919,SECONDARY (S1-S5),1.31961649151328,103.835772689988
ANGLO-CHINESE SCHOOL (INDEPENDENT),139650,MIXED LEVEL (S1-JC2),1.30370409257783,103.780363417671
ANGLO-CHINESE SCHOOL (JUNIOR),227988,PRIMARY,1.30935041274966,103.840950265464
ANGLO-CHINESE SCHOOL (PRIMARY),309918,PRIMARY,1.31837054523521,103.835609732354
ANGSANA PRIMARY SCHOOL,528565,PRIMARY,1.36360590588314,103.9389409004
ASSUMPTION ENGLISH SCHOOL,678117,SECONDARY (S1-S5),1.36838160662857,103.766687526556
ASSUMPTION PATHWAY SCHOOL,679697,SECONDARY (S1-S4),1.3696707043227,103.765959130581
BARTLEY SECONDARY SCHOOL,538403,SECONDARY (S1-S5),1.33995415587811,103.882806211705
BEACON PRIMARY SCHOOL,679944,PRIMARY,1.38394936211823,103.773632022975
BEATTY SECONDARY SCHOOL,318990,SECONDARY (S1-S5),1.341790284928,103.852280842345
BEDOK GREEN PRIMARY SCHOOL,469317,PRIMARY,1.32399627990304,103.937745023577
BEDOK GREEN SECONDARY SCHOOL,469722,SECONDARY (S1-S5),1.33451947288431,103.935028383346
BEDOK SOUTH SECONDARY SCHOOL,468585,SECONDARY (S1-S5),1.32513655159184,103.950989139261
BEDOK VIEW SECONDARY SCHOOL,469293,SECONDARY (S1-S5),1.32415704029686,103.943776245024
BENDEMEER PRIMARY SCHOOL,339948,PRIMARY,1.32181250780475,103.865404167629
BENDEMEER SECONDARY SCHOOL,327919,SECONDARY (S1-S5),1.32425869967174,103.860634248131
BLANGAH RISE PRIMARY SCHOOL,109100,PRIMARY,1.27614522920998,103.80861316604
BOON LAY GARDEN PRIMARY SCHOOL,649930,PRIMARY,1.34284013791617,103.712858381937
BOON LAY SECONDARY SCHOOL,648354,SECONDARY (S1-S5),1.34272216334333,103.701891453912
BOWEN SECONDARY SCHOOL,547529,SECONDARY (S1-S5),1.37035994436209,103.877659577677
BROADRICK SECONDARY SCHOOL,399935,SECONDARY (S1-S5),1.30705061123433,103.886917922608
BUKIT BATOK SECONDARY SCHOOL,658962,SECONDARY (S1-S5),1.34849111079052,103.74087370482
BUKIT MERAH SECONDARY SCHOOL,159050,SECONDARY (S1-S5),1.28569283064288,103.813438929393
BUKIT PANJANG GOVT. HIGH SCHOOL,689809,SECONDARY (S1-S5),1.38224243360043,103.738361221869
BUKIT PANJANG PRIMARY SCHOOL,679676,PRIMARY,1.37350089986584,103.769417337654
BUKIT TIMAH PRIMARY SCHOOL,598112,PRIMARY,1.3372995575169,103.766828720721
BUKIT VIEW PRIMARY SCHOOL,659634,PRIMARY,1.34586054788695,103.75366641455
