geometry,latitude,longitude,OBJECTID,LANDXADDRESSPOINT,LANDYADDRESSPOINT,ADDRESSBUILDINGNAME,ADDRESSPOSTALCODE,ADDRESSSTREETNAME,DESCRIPTION,NAME,PHOTOURL,ADDRESSBLOCKHOUSENUMBER,STATUS,AWARDED_DATE,IMPLEMENTATION_DATE,INFO_ON_CO_LOCATORS,ADDRESS_MYENV,EST_ORIGINAL_COMPLETION_DATE,HUP_COMPLETION_DATE,NUMBER_OF_COOKED_FOOD_STALLS,INC_CRC,FMEL_UPD_D
"{""type"":""Point"",""coordinates"":[103.84661927383159,1.2792312094873002]}",1.2792312094873002,103.84661927383159,119091,29433.14995771,29089.97730924,MND COMPLEX (ANNEXE B),069111,MAXWELL ROAD,HUP Standard Upgrading,Amoy Street Food Centre (Telok Ayer Food Centre),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265968760190.jpg,7,Existing,,,,"National Development Building, Annex B, Telok Ayer Street, Singapore 069111",1983,17/02/2003,134,1166A0D172748172,20250807100106
"{""type"":""Point"",""coordinates"":[103.80469379769634,1.2974865589089906]}",1.2974865589089906,103.80469379769634,119092,24814.31527037,31095.00824627,SKYRESIDENCE @ DAWSON,142038,Margaret Drive,New Replacement Centre,Margaret Drive Hawker Centre,,38A,Existing (replacement),11/05/2015,02/12/2015,hawker centre/branch office,,30/3/2022,,38,939D0746E9A0AAE2,20250807100106
"{""type"":""Point"",""coordinates"":[103.90854260132319,1.4145180096913892]}",1.4145180096913892,103.90854260132319,119093,36371.36760127,44035.86651297,PUNGGOL COAST MALL,829911,Punggol Way,New Centre,Punggol Coast Hawker Centre,,84,Existing (new),08/08/2019,21/08/2019,hawker centre/community club/bus interchange/childcare centre/JTC industrial units,,21/8/2024,,40,6C6754A6627194EC,20250807100106
"{""type"":""Point"",""coordinates"":[103.8084289682175,1.2732499271477487]}",1.2732499271477487,103.8084289682175,119094,25229.98055708,28415.04195251,TELOK BLANGAH BEACON,103078,Telok Blangah Drive,New Replacement Centre,Telok Blangah Hawker Centre & Market,,78C,Under Construction,29/04/2022,20/05/2022,hawker centre/market/flats,,2027,,40,4D0564D8E8B5675A,20250807100106
"{""type"":""Point"",""coordinates"":[103.77633041443977,1.33923656638092]}",1.33923656638092,103.77633041443977,119095,21621.86891067,35735.43508407,BUKIT TIMAH MARKET,588215,Upper Bukit Timah Road,New Replacement Centre,Bukit Timah Market,,51,Under Construction,01/10/2024,15/10/2024,hawker centre/market/community club/indoor sports hall/senior care centre,"51, Upper Bukit Timah Road, Singapore 588215",2029,,82,AF868AA387991B66,20250807100106
"{""type"":""Point"",""coordinates"":[103.77521471399332,1.3407879159379656]}",1.3407879159379656,103.77521471399332,119096,35883.10858126,21533.66534254,,599213,JALAN SEH CHUAN,Interim Centre,Bukit Timah Interim Hawker Centre and Market,,2A,Interim Centre,,,,,1/10/2024,,78,37DE6597552D28E4,20250807100106
"{""type"":""Point"",""coordinates"":[103.9377763570609,1.3668484230579017]}",1.3668484230579017,103.9377763570609,119097,39624.90661716,38764.92237267,Parktown,529385,TAMPINES STREET 62,New Centre,Tampines North Hawker Centre,,27,Under Construction,,27/08/2024,hawker centre/community club/bus interchange/private residential and commercial units,,2030,,40,6CAF40EF5E9B7FB7,20250807100106
"{""type"":""Point"",""coordinates"":[103.79803174152435,1.299651001320326]}",1.299651001320326,103.79803174152435,119098,24072.89074837,31334.3504509,Tanglin Halt Courtyard,141017,Tanglin Halt Road,New Replacement Centre,Tanglin Halt Hawker Centre & Market,,17A,Under Construction,30/08/2024,20/09/2024,hawker centre/flats,,2029,,0,6BC0F4F0D3A4D5C1,20250807100106
"{""type"":""Point"",""coordinates"":[103.85499618356134,1.323064938171913]}",1.323064938171913,103.85499618356134,119099,30412.5008994,33923.32628219,WHAMPOA DRIVE MAKAN PLACE,320090,Whampoa Drive,HUP Standard Upgrading,Whampoa Drive Blk 90 (Whampoa Drive Makan Place/Whampoa Food Centre),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262154207158.jpg,90,Existing,,,,"Blk 90, Whampoa Drive, Singapore 320090",26/8/1976,25/10/2007,80,7038893DAD96F8E1,20241211100036
"{""type"":""Point"",""coordinates"":[103.79141090894716,1.2759179745717486]}",1.2759179745717486,103.79141090894716,119100,23336.00796759,28710.08548007,PASIR PANJANG FOOD CENTRE,118543,Pasir Panjang Road,HUP Standard Upgrading,Pasir Panjang Food Centre,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155813373.jpg,121,Existing,,,,"121, Pasir Panjang Road, Singapore 118543",1978,20/05/2002,45,55A1F6785365972F,20241211100036
"{""type"":""Point"",""coordinates"":[103.8431616772891,1.276613670144106]}",1.276613670144106,103.8431616772891,119101,29095.45853841,28786.97596554,TANJONG PAGAR PLAZA,081006,Tanjong Pagar Plaza,HUP Standard Upgrading,Tanjong Pagar Plaza Blk 6 (Blk 6 Tanjong Pagar Plaza Market and Food Centre),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/blk-6-tanjong-pagar-plaza.jpg,6,Existing,,,,"Blk 6, Tanjong Pagar Plaza, Singapore 081006",18/4/1977,27/12/2013,52,ADDEDD133E1F968B,20241211100036
"{""type"":""Point"",""coordinates"":[103.69724185257508,1.3412641038830853]}",1.3412641038830853,103.69724185257508,119102,12856.11635706,35936.10730619,JURONG WEST HAWKER CENTRE,648202,Jurong West Street 61,New Centre,Jurong West Hawker Centre,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/jurong-west-hawker-centre.jpg,50,Existing (new),23/09/2015,15/10/2015,,"Blk 50, Jurong West St 61, Singapore 648202",28/7/2017,,39,8AC6AC7034FD5DC8,20241211100036
