school_name,url_address,address,postal_code,telephone_no,telephone_no_2,fax_no,fax_no_2,email_address,mrt_desc,bus_desc,principal_name,first_vp_name,second_vp_name,third_vp_name,fourth_vp_name,fifth_vp_name,sixth_vp_name,dgp_code,zone_code,type_code,nature_code,session_code,mainlevel_code,sap_ind,autonomous_ind,gifted_ind,ip_ind,mothertongue1_code,mothertongue2_code,mothertongue3_code,latitude,longitude
ADMIRALTY PRIMARY SCHOOL,https://admiraltypri.moe.edu.sg/,11 WOODLANDS CIRCLE ADMIRALTY PRIMARY SCHOOL SINGAPORE 738907,738907,63620598,na,63627512,na,ADMIRALTY_PS@MOE.EDU.SG,Admiralty Station,"TIBS 965, 964, 913",MR CHEN ZHONGYI,MADAM CHUA MUI LING,MR HAMRI BIN A JALIL,na,na,na,na,WOODLANDS,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,FULL DAY,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL,1.4426347903311,103.800040119743
ADMIRALTY SECONDARY SCHOOL,http://www.admiraltysec.moe.edu.sg,31 WOODLANDS CRESCENT ADMIRALTY SECONDARY SCHOOL SINGAPORE 737916,737916,63651733,63654596,63652774,na,Admiralty_SS@moe.edu.sg,ADMIRALTY MRT,904,MR TAN KELLY,MR CHAN YEW REN EUGENE,MR TAN HOCK CHUAN MICHAEL,na,na,na,na,WOODLANDS,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL,1.44589068910993,103.802398196596
AHMAD IBRAHIM PRIMARY SCHOOL,http://www.ahmadibrahimpri.moe.edu.sg,10 YISHUN STREET 11 AHMAD IBRAHIM PRIMARY SCHOOL SINGAPORE 768643,768643,67592906,na,67592927,na,AIPS@MOE.EDU.SG,Yishun,"Yishun Ring Road - 812 (white plate); Yishun Ave 2 - 169, 804, 965, 117, 883",MS BAEY EE-LYN,MADAM YEO SIAU YEN,MADAM ZHANG JUNLI,na,na,na,na,YISHUN,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL,1.43315271543517,103.832942401086
AHMAD IBRAHIM SECONDARY SCHOOL,http://www.ahmadibrahimsec.moe.edu.sg,751 YISHUN AVENUE 7 AHMAD IBRAHIM SECONDARY SCHOOL SINGAPORE 768928,768928,67585384,na,67557778,na,AISS@MOE.EDU.SG,"CANBERRA MRT, YISHUN MRT","117, 167, 169, 800, 811, 812, 883, 856, 858, 859, 965, 969, 980",MR GOH SOON HOE,MISS LEA SHU HUI,MR QUEK CHOON HSIONG,MISS LATIFAH BTE ABDUL LATIFF,na,na,na,YISHUN,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,No,No,No,CHINESE,MALAY,TAMIL,1.43605975368804,103.829718690077
AI TONG SCHOOL,http://www.aitong.moe.edu.sg,100 BRIGHT HILL DRIVE AI TONG SCHOOL SINGAPORE 579646,579646,64547672,na,64532726,na,AITONG_SCH@MOE.EDU.SG,Bishan MRT,"410, 162, 52",MR WONG JIA WANG,MR YAK BENG WEI,MR CHIU SHEK MAN PHILIP,MR KHOO THIAM HUAT,na,na,na,BISHAN,SOUTH,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,Yes,No,No,No,CHINESE,na,na,1.3605834338904,103.833020333986
ALEXANDRA PRIMARY SCHOOL,http://alexandrapri.moe.edu.sg,2A PRINCE CHARLES CRESCENT ALEXANDRA PRIMARY SCHOOL SINGAPORE 159016,159016,62485400,na,62485409,na,alexandra_ps@moe.edu.sg,Redhill Station; Tiong Bahru Station,"51, 122, 139, 186, 970.",MADAM TEO CHING LING,MADAM RAPS AZRINAH,MR LOH KAH HONG,na,na,na,na,BUKIT MERAH,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL,1.29133439161334,103.824424680531
ANCHOR GREEN PRIMARY SCHOOL,http://www.anchorgreenpri.moe.edu.sg,31 ANCHORVALE DRIVE ANCHOR GREEN PRIMARY SCHOOL SINGAPORE 544969,544969,68861356,na,63159825,na,anchorgreen_ps@moe.edu.sg,MRT : NE16-Sengkang; LRT : SW7-TongKang,"Bus 372, 110, 50",MR CHEONG LIT SERN WESLEY,MDM MUMTAAS BINTE MOHAMED KASSIM,MADAM NEO LAY PIN,na,na,na,na,SENG KANG,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL,1.39036998654612,103.887165375933
ANDERSON PRIMARY SCHOOL,http://www.andersonpri.moe.edu.sg,19 ANG MO KIO AVENUE 9 ALPHAJOY STUDENT CARE CENTRE (ANDERSON PRIMARY) SINGAPORE 569785,569785,64560340,na,65522310,na,ANDERSON_PS@MOE.EDU.SG,Yio Chu Kang MRT Station (NS 15); Lentor MRT Station (TE5),"Ang Mo Kio Ave 9 - Bus 76, 265, 268",MS SHIRLEY LEOW,MR BOH CHEK KEOW,MADAM TAN AI CHOO,na,na,na,na,ANG MO KIO,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,CHINESE,MALAY,TAMIL,1.38419941907925,103.841411716006
ANDERSON SECONDARY SCHOOL,http://www.andersonsec.moe.edu.sg,10 ANG MO KIO STREET 53 ANDERSON SECONDARY SCHOOL SINGAPORE 569206,569206,64598303,na,64586104,na,ANDERSON_SS@MOE.EDU.SG,"ANG MO KIO MRT, YIO CHU KANG MRT","265, 45, 50, 72, 159",MISS TAN PO CHIN,MR JONAH LIM TUCK HWAY (LIN DAHUI),MR LEE CHUN YANG EUGENE,MR SHAHREEN BIN AMAN,na,na,na,ANG MO KIO,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY (S1-S5),No,Yes,No,No,CHINESE,MALAY,TAMIL,1.37434001701177,103.851554107068
ANDERSON SERANGOON JUNIOR COLLEGE,www.asrjc.moe.edu.sg,1033 UPPER SERANGOON ROAD ANDERSON SERANGOON JUNIOR COLLEGE SINGAPORE 534768,534768,64596822,na,64598734,na,asrjc@moe.edu.sg,Kovan MRT Station,"25, 55, 62, 80, 81, 82, 101, 107, 107M, 112, 113, 115, 119, 132, 136, 153, 325, 854",MR HENG YEW SENG,MR GURUSHARAN SINGH S/O M SINGH,MADAM TEY LI SHUN,MR MOHAMAD AMRAN SHAH BIN ABDUL RAHIM,na,na,na,HOUGANG,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,FULL DAY,JUNIOR COLLEGE,No,No,No,No,CHINESE,MALAY,TAMIL,1.36504342002442,103.887038809373
